id_venta,fecha,email,provincia,id_categoria,total,id_producto
79,2024-04-25,gabrielaromero@gmail.com,Cordoba,2033,35.50,15228
80,2024-04-25,gabrielaromero@gmail.com,Cordoba,2033,35.50,15228
81,2024-01-02,sofiaquiroga@gmail.com,"Buenos Aires",2033,15.65,15218
82,2024-01-05,lauramartinez@gmail.com,"Buenos Aires",2033,15.65,15218
83,2024-01-12,vic.diaz@gmail.com,"Buenos Aires",2033,15.65,15218
84,2024-01-25,javimolina@gmail.com,"Buenos Aires",2033,15.65,15218
85,2024-01-03,anacabrera22@gmail.com,"Buenos Aires",2033,85.99,15219
86,2024-02-03,pabloromero@gmail.com,"Buenos Aires",2033,85.99,15219
87,2024-01-11,valruiz85@gmail.com,"Buenos Aires",2033,42.99,15222
88,2024-02-11,fedsilva@gmail.com,"Buenos Aires",2033,42.99,15222
89,2024-02-18,estebanrodriguez@gmail.com,Catamarca,2033,42.99,15222
90,2024-02-13,mariaperez@gmail.com,Catamarca,2033,120.00,15223
91,2024-03-13,hernangomez@gmail.com,Catamarca,2033,120.00,15223
92,2024-04-13,camilafdez@gmail.com,Catamarca,2033,120.00,15223
93,2024-04-23,anacabrera22@gmail.com,"Buenos Aires",2033,120.00,15223
94,2024-03-23,lucassanchez@gmail.com,Catamarca,2033,120.00,15223
95,2024-02-11,pablosanchez@gmail.com,Misiones,2033,120.00,15223
96,2024-01-19,sofialopez@gmail.com,"Tierra del Fuego",2033,7.99,15225
97,2024-03-19,tomasgarcia@gmail.com,"Tierra del Fuego",2033,7.99,15225
98,2024-05-19,diegomartinez@gmail.com,"Tierra del Fuego",2033,7.99,15225
99,2024-03-22,victoriarodriguez@gmail.com,"Tierra del Fuego",2033,14.50,15226
100,2024-04-22,lauraperez@gmail.com,"Tierra del Fuego",2033,14.50,15226
101,2024-02-15,andresgomez@gmail.com,"Tierra del Fuego",2033,35.50,15228
102,2024-03-25,anafernandez@gmail.com,"Tierra del Fuego",2033,35.50,15228
103,2024-03-15,martinsanchez@gmail.com,"Tierra del Fuego",2033,35.50,15228
104,2024-03-11,marcelagonzalez@gmail.com,"Tierra del Fuego",2033,16.99,15229
105,2024-03-13,alejandrodiaz@gmail.com,"Tierra del Fuego",2033,29.99,15230
106,2024-03-15,emilianolopez@gmail.com,Chubut,2033,11.99,15231
107,2024-04-15,ceciliagarcia@gmail.com,Chubut,2033,11.99,15231
108,2024-05-15,francomartinez@gmail.com,Chubut,2033,11.99,15231
109,2024-03-17,marianarodriguez@gmail.com,Chubut,2033,95.99,15232
110,2024-05-11,robertoperez@gmail.com,Chubut,2033,95.99,15232
111,2024-04-01,nicolasgomez@gmail.com,Chubut,2033,19.99,15234
112,2024-05-11,julietafernandez@gmail.com,Chubut,2033,19.99,15234
113,2024-04-03,paulasanchez@gmail.com,Chubut,2033,14.50,15236
114,2024-04-05,guillermogonzalez@gmail.com,Chubut,2033,9.99,15237
115,2024-05-05,damiandiaz@gmail.com,Chubut,2033,9.99,15237
116,2024-04-07,pabloromero@gmail.com,"Buenos Aires",2033,39.99,15240
117,2024-04-09,sofiamartinez23@gmail.com,"Buenos Aires",2033,13.99,15241
118,2024-04-11,vic.diaz@gmail.com,"Buenos Aires",2033,15.99,15242
119,2024-05-11,sofiamartinez23@gmail.com,"Buenos Aires",2033,15.99,15242
120,2024-06-11,valruiz85@gmail.com,"Buenos Aires",2033,15.99,15242
121,2024-04-13,soledadjuarez@gmail.com,Cordoba,2033,45.99,15243
122,2024-01-13,sofiamartinez23@gmail.com,"Buenos Aires",2033,120.00,15244
123,2024-01-15,juangutierrez@gmail.com,Cordoba,2033,29.99,15245
124,2024-02-15,soledadjuarez@gmail.com,Cordoba,2033,29.99,15245
125,2024-03-15,marcelah@gmail.com,Cordoba,2033,29.99,15245
126,2024-05-15,miguel.sosa@gmail.com,Cordoba,2033,29.99,15245
127,2024-04-17,mariaaguero@gmail.com,Cordoba,2033,27.99,15247
128,2024-04-19,pereyra.carlos@gmail.com,Cordoba,2033,55.99,15248
129,2024-05-19,soledadjuarez@gmail.com,Cordoba,2033,55.99,15248
130,2024-07-19,vic.diaz@gmail.com,"Buenos Aires",2033,55.99,15248
131,2024-02-19,marcoslopez@gmail.com,Cordoba,2033,55.99,15248
132,2024-04-21,sabrinagarcia@gmail.com,Cordoba,2033,39.99,15249
133,2024-04-23,mariaaguero@gmail.com,Cordoba,2033,49.99,15253
134,2024-01-23,pereyra.carlos@gmail.com,Cordoba,2033,49.99,15253
135,2024-03-23,patricialuna@gmail.com,"Buenos Aires",2033,49.99,15253
136,2024-04-25,camiperez89@gmail.com,"Buenos Aires",2033,25.99,15254
137,2024-01-25,mariagomez76@gmail.com,"Buenos Aires",2033,109.99,15255
138,2024-02-25,diegofz22@gmail.com,"Buenos Aires",2033,109.99,15255
139,2024-01-31,luciasanchez45@gmail.com,"Buenos Aires",2033,109.99,15255
140,2024-03-25,agustinalopez@gmail.com,Neuquen,2033,109.99,15255
141,2024-04-25,federicogarcia@gmail.com,Neuquen,2033,109.99,15255
142,2024-07-25,mariamartinez@gmail.com,Neuquen,2033,109.99,15255
143,2024-02-15,claudiorodriguez@gmail.com,Neuquen,2033,109.99,15255
144,2024-01-12,valeriaperez@gmail.com,Neuquen,2033,109.99,15255
145,2024-01-29,valentinalopez@gmail.com,Mendoza,2033,109.99,15255
146,2024-03-15,rodrigogarcia@gmail.com,Mendoza,2033,109.99,15255
147,2024-03-19,lilianamartinez@gmail.com,Mendoza,2033,109.99,15255
148,2024-04-27,matiasrodriguez@gmail.com,Mendoza,2033,135.00,15256
149,2024-04-29,juliaperez@gmail.com,Mendoza,2033,28.99,19988
150,2024-05-19,florenciagonzalez@gmail.com,Mendoza,2033,28.99,19988
151,2024-07-09,patricialuna@gmail.com,"Buenos Aires",2033,28.99,19988
152,2024-01-01,carolopez@gmail.com,"Buenos Aires",2036,9.99,18990
153,2024-02-11,luciaf@gmail.com,"Buenos Aires",2036,9.99,18990
154,2024-01-21,miguel.olivera@gmail.com,"Buenos Aires",2036,9.99,18990
155,2024-03-01,carlabustos@gmail.com,"Buenos Aires",2036,9.99,18990
156,2024-05-19,juanalvarez@gmail.com,"Buenos Aires",2036,9.99,15626
157,2024-04-30,nataliaromero@gmail.com,"Buenos Aires",2036,35.99,15625
158,2024-05-20,pablomoreno@gmail.com,"Buenos Aires",2036,35.99,15625
159,2024-02-16,marianavega@gmail.com,"Buenos Aires",2036,29.99,15623
160,2024-03-16,juanortega@gmail.com,"Buenos Aires",2036,29.99,15623
161,2024-07-16,valentinafunes@gmail.com,"Buenos Aires",2036,29.99,15623
162,2024-06-03,sofiaquiroga@gmail.com,"Buenos Aires",2036,12.99,15619
163,2024-02-13,lauramartinez@gmail.com,"Buenos Aires",2036,12.99,15619
164,2024-01-05,camilasilva@gmail.com,Misiones,2036,25.50,15617
165,2024-04-29,valeriamendez@gmail.com,Misiones,2036,25.99,15616
